scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11618,"Abu al-Aliyya al-Bara', Ziyad bin Feroz",أبو العالية البراء زياد بن فيروز,Follower(Tabi') [4th generation],0,710,al-Basra,"11015, 10672, 10719, 24083, 11075","17, 18, 106, 19, 10692, 10695"
11619,Ibrahim bin 'Abdur Rahman al-Saksaki إ,براهيم بن عبد الرحمن السكسكي,Follower(Tabi') [5th generation],0,0,al-Kufa,"11441, 20359, 20728","5115, 11901, 11353"
11620,al-Aswad bin Hilal al-Maharbi ا,لأسود بن هلال المحاربي,Follower(Tabi') [1st Generation],0,704,al-Kufa,"11324, 11371, 11049, 11051","32, 3, 16, 166, 13, 5002"
11621,Ayoub bin Aa'idh,أيوب بن عائذ,Follower(Tabi') [6th generation],0,0,al-Kufa,"20350, 20256, 20012, 20005","11386, 10748, 11052"
11622,al-Harith bin Yazid al-'Akli ا,لحارث بن يزيد العكلي,Follower(Tabi') [6th generation],0,0,al-Kufa,"10783, 10616, 11072","11406, 11052, 11051, 11379"
11623,al-Hasan bin 'Abdullah al-Arni ا,لحسن بن عبد الله العرني,Follower(Tabi') [4th generation],0,0,al-Kufa,"11069, 11350, 10799, 24500","17, 5202, 10798, 10839, 11050"
11624,al-Hasan bin 'Amr al-Fqymy ا,لحسن بن عمرو الفقيمي,Follower(Tabi') [6th generation],0,758,al-Kufa,"20012, 20025, 20317, 20256, 20354, 20373, 20356","11028, 11050, 11069, 11263, 11398, 11389, 11051"
11625,Khalid bin Sa'd al-Kwfy,خالد بن سعد الكوفي,Follower(Tabi') [2nd Generation],0,0,al-Kufa,"11051, 11060, 11067, 11371, 10821, 11331","145, 53, 13"
11626,Rqbh bin Msqlh bin Abd,رقبة بن مسقلة,Follower(Tabi') [6th generation],0,748,al-Kufa,"11289, 21562, 20028, 20469, 20005, 20356","11674, 11049, 11029, 11386, 11650, 11295, 11356, 11269, 11014"
11627,Zayd bin Hdyr al-Asady,زيد بن حدير الأسدي الكوفي,Follower(Tabi') [1st Generation],0,0,al-Kufa,,
11628,Sa'd Abu Mjahd al-Ta'iy,سعد أبو مجاهد الطائي الكوفي,Follower(Tabi') [6th generation],0,0,al-Kufa,"11060, 20311, 20585","11651, 19367, 15373, 10646"
11629,Sa'id bin 'Ubaid al-Tai'i,سعيد بن عبيد الطائي,Follower(Tabi') [6th generation],0,0,al-Kufa,"20012, 20025, 20201, 20331, 25244, 20452, 20031, 20032, 20472, 20348","11810, 11376, 11648, 11050"
11630,Sa'id bin 'Amr bin Ashu',سعيد بن عمرو بن أشوع,Follower(Tabi') [6th generation],0,0,"Hamadan, al-Kufa","20016, 20012, 11282, 11338, 10957, 11331, 11350, 11368","19869, 10774, 11052, 11901"
11631,Sufyan bin Dinar al-Tmar,سفيان بن دينار التمار,Follower(Tabi') [6th generation],0,0,al-Kufa,"20373, 20025, 20372, 20333","11161, 10556, 11050, 11052, 11023, 10600, 10721"
11632,Sufyan bin Ziyad al-Asfari,سفيان بن زياد العصفري,Follower(Tabi') [6th generation],0,0,Kufa,,
