scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11608,Qtn bin Ka'b,قطن بن كعب,Follower(Tabi') [6th generation],0,0,al-Basra,"20020, 20022, 20258","11552, 11035, 11603, 19860, 11015"
11609,Qays bin 'Aabad al-Qaysi,قيس بن عباد القيسي الضبعي,Follower(Tabi') [2nd Generation],0,0,"al-Basra, Medina","11313, 11016, 11035, 10721",
11610,Kathir bin Shanzayr,كثير بن شنظير,Follower(Tabi') [6th generation],0,0,al-Basra,"11073, 20022, 20258, 20205, 25067, 10690, 20243, 20212","11029, 11028, 11016, 11035, 11038, 22714"
11611,Mrwan al-Asfr Abu,مروان الأصفر,Follower(Tabi') [4th generation],0,0,al-Basra,"11282, 11298, 14352, 20020, 11298, 11582","18, 13, 19, 11353, 18438, 11018, 11226, 11052"
11612,Ma'bd bin Hilal al-Nzy,معبد بن هلال العنزي,Follower(Tabi') [4th generation],0,0,Basra,"11019, 11289, 20638, 20395, 11286, 20021, 20022, 20288","189, 19, 11016, 15577"
11613,"Musa bin Nafi', Abu Shahab al-Hanat",موسى بن نافع الأسدي أبو شهاب الحناط,Follower(Tabi') [6th generation],0,0,al-Basra,"20012, 20347, 20032, 20031, 20333, 20318, 30213, 20348","11028, 11029, 11050"
11614,Maymun bin Syah,ميمون بن سياه,Follower(Tabi') [4th generation],0,0,al-Basra,"20289, 24453, 11273, 11279, 20237","4053, 19, 11016, 11044"
11615,Yusuf bin Yazid al-Barra' al-Atar,يوسف بن يزيد البصري البراء العطار,Follower(Tabi') [6th generation],0,0,al-Basra,"30399, 30161, 30139","20444, 11590, 11158, 11172, 23479, 12523, 11600"
11616,Yonus bin Abi al-Farat al-Askaf,يونس بن أبي الفرات - الإسكاف,Follower(Tabi') [6th generation],0,0,al-Basra,"20295, 24415, 20277","11016, 11010, 11019, 10702"
11617,Abu al-Swar al-Dwy al-'Abbassri,أبو السوار العدوي البصري,Follower(Tabi') [2nd Generation],0,0,al-Basra,"11019, 11317, 11301, 11060, 11286, 20562, 11071, 19837","5, 30, 123, 4053"
