scholar_index,name_letters,name_arabic,birth_greg,death_greg,places_of_stay
75,Ruqayqa bint Abi Sayfi bin Hashim,( رقيقة بنت أبي صيفي بن هاشم ( رضي الله عنها,0,0,"Makkah, Medina"
76,Khawlah bint Hakim,( خولة بنت حكيم بن أمية ( رضي الله عنها,0,0,"Makkah, Medina"
77,Fatima bint Asad,( فاطمة بنت أسد بن هاشم بن عبد مناف ( رضي الله عنها,558,626,"Makkah, Medina"
78,Fatima bint al-Khattab,( فاطمة بنت الخطاب بن نفيل القرشية العدوية ( رضي الله عنها,0,0,"Makkah, Medina"
79,Umm 'Ammarah Nasaybah,"( نسيبة بنت كعب ,أم عمارة ( رضي الله عنها",0,0,"Medina, Basra"
80,Najiyah/'Atika/Fakhta bint al-Walid,( ناجية/عاتكة/فاختة بنت الوليد بن المغيرة ( رضي الله عنها,0,0,"Makkah, Medina"
81,Qaraybah bint Abi Umayyah al-Sugra,( قريبة بنت أبي أمية ( رضي الله عنها,0,0,"Makkah, Medina"
82,Faree'ah bint Malik,( فريعة بنت مالك بن سنان ( رضي الله عنها,0,0,Medina
83,Umm Sulaym bint Milhan,( أم سليم بنت ملحان ( رضي الله عنها,0,0,Medinah
84,Asma' bint Yazid bin al-Sakan,( أسماء بنت يزيد بن السكن ( رضي الله عنها,0,622,"Medina, Damascus"
85,Safiyya bint ‘Abd al-Muttalib,( صفية بنت عبد المطلب بن هاشم ( رضي الله عنها,623,640,"Makkah, Medina"
86,Salma bint 'Umays,( سلمى بنت عميس بن معد ( رضي الله عنها,0,0,"Makkah, Medina"
87,Umm al-Darda,( خيرة بنت أبي حدرد أم الدرداء ( رضي الله عنها,0,655,"Medina, Syria"
88,Sirin,( سيرين أم ولد حسان بن ثابت ( رضي الله عنها,0,0,"Egypt, Medinah"
89,Sumayyah bint Khayyat,( سمية بنت خباط ( رضي الله عنها,0,616,Makkah
90,Thuwaybah,( ثويبة ( رضي الله عنها,0,629,"Makkah, Medina"
91,Umm Ruman,( أم رومان زينب بنت عامر ( رضي الله عنها,586,622,"Sarat,  Makkah,  Madina"
92,Umamah bint Zainab,( أمامة بنت أبي العاص بن الربيع ( رضي الله عنها,0,686,"Makkah, Medina, Kufa"
93,Umm Hakim,( أم حكيم بنت الحارث بن هشام بن المغيرة ( رضي الله عنها,0,0,"Makkah, Medina, Syria"
94,Umm Kulthum bint Muhammad,( أم كلثوم بنت سيد البشر رسول الله ( رضي الله عنها,0,631,"Makkah, Medinah"
95,Umm Kulthum bint 'Uqba,( أم كلثوم بنت عقبة بن أبي معيط ( رضي الله عنها,0,0,"Makkah, Medina"
96,Asma bint Sa'id bin Zayd,( أسماء بنت سعيد بن زيد ( رضي الله عنها,0,0,"Makkah, Medina, Kufa"
97,Zaynab bint Muhammad,( زينب بنت سيد ولد آدم محمد بن عبد الله ( رضي الله عنها,598,630,"Makkah, Medina"
98,Zaynab bint 'Ali bin Abi Talib,( زينب بنت على بن أبي طالب ( رضي الله عنها,627,684,"Medinah, Kufa"
99,Umm Kulthum bint 'Ali bin Abi Talib,( أم كلثوم بنت علي بن أبي طالب ( رضي الله عنها,629,0,Medinah
100,al-'Abbas ibn 'Abd al-Muttalib,( العباس بن عبد المطلب بن هاشم ( رضي الله عنه,566,654,"Makkah, Medina"
101,Abu Salamah,( عبد الله بن عبد الأسد أبو سلمة ( رضي الله عنه,0,626,"Makkah, Abyssinia, Medinah"
102,Ruqayyah bint Muhammad,( رقية بنت محمد بن عبد الله ( رضي الله عنها,598,624,"Makkah, Abyssinia, Medinah"
103,'Abdullah bin Saalam,( عبد الله بن سلام بن الحارث أبو يوسف ( رضي الله عنه,0,664,Medina
104,Hadrad bin Abi Hadrad al-Aslami,( حدرد بن أبي حدرد ( رضي الله عنه,0,0,Medina
105,'Abdullah bin Abi Hadrad al-Aslami,( عبد الله بن أبي حدرد ( رضي الله عنه,0,622,Medina
106,'Abdullah ibn al-Zubayr,( عبد الله بن الزبير بن العوام ( رضي الله عنه,623,693,"Medinah, Makkah"
107,'Abdur Rahman bin Abi Bakr,( عبد الرحمن بن أبي بكر الصديق ( رضي الله عنه,0,622,"Makkah, Medina"
108,'Abdullah ibn Ja'far,( عبد الله بن جعفر بن أبي طالب ( رضي الله عنه,622,622,"Abyssinia,  Medina,  Kufa"
109,Bukayr bin Shaddakh al-Laithi,( بكير - بكر بن الشداخ الليثي ( رضي الله عنه,0,0,"Makkah, Medina"
110,'Abdullah bin Abi Bakr,( عبد الله بن أبي بكر ( رضي الله عنه,0,622,"Makkah, Medina"
111,"Abu Dujana, Simak bin Aus bin Kharasha",( سماك بن خرشة أبو دجانة الأنصاري ( رضي الله عنه,0,634,Medinah
112,al-Mundhir bin 'Amr b. Khunays,( المنذر بن عمرو بن خنيس ( رضي الله عنه,0,626,Medinah
113,Abu Usayd Malik bin Rabi'a,( مالك بن ربيعة أبو أسيد الساعدي الأنصاري ( رضي الله عنه,0,681,"Medinah, Basra"
114,Zayd ibn al-Khattab,( زيد بن الخطاب بن نفيل العدوي ( رضي الله عنه,0,634,"Makkah, Medina"
115,Abu Lubaba bin 'Abdul Mundhir,( أبو لبابة بن عبد المنذر ( رضي الله عنه,0,622,Medina
116,Abu Sufyan ibn Harb,( صخر بن حرب أبو سفيان ( رضي الله عنه,560,622,"Makkah, Medinah"
117,Abu Sufyan ibn al-Harith,( أبو سفيان بن الحارث بن عبد المطلب ( رضي الله عنه,0,636,"Makkah, Medina"
118,Ja'far ibn Abi Sufyan,( ‎جعفر بن أبي سفيان بن الحارث ( رضي الله عنه,0,622,"Makkah, Medina, Damascus"
119,Abu al-'Aas ibn al-Rabiah,( أبو العاص بن الربيع ( رضي الله عنه,0,0,"Makkah, Medina"
120,Abu Hudhayfah ibn 'Utbah,( أبو حذيفة بن عتبة بن ربيعة بن عبد شمس ( رضي الله عنه,0,634,"Makkah, Abyssinia, Medinah"
121,'Uthman bin Maz'un,( عثمان بن مظعون ( رضي الله عنه,0,625,"Makkah, Abyssinia, Medinah"
122,'Abdullah bin Maz'un,( عبد الله بن مظعون الجمحي ( رضي الله عنه,623,652,"Makkah, Abyssinia, Medinah"
123,'Imran bin Husain,( عمران بن حصين ( رضي الله عنه,0,674,"Makkah, Medina, Kufa, Basra"
124,Zaynab bint Maz'un,( زينب بنت مظعون بن حبيب الجمحية ( رضي الله عنها,0,0,"Makkah, Medina"
125,Umm Waraqa bint 'Abdullah,( أم ورقة بنت عبد الله بن الحارث ( رضي الله عنها,0,0,Medina
126,Zinira,( زنيرة ( رضي الله عنها,0,0,"Makkah, Medinah"
127,'Abdur Rahman ibn Shaddad,( عبد الرحمن بن شداد الليثي ( رضي الله عنه,0,0,Medinah
128,Qutham ibn al-'Abbas,( قثم بن العباس بن عبد المطلب ( رضي الله عنه,0,622,"Makkah, Medina, Samarqand"
130,Thawban bin Bujdud,( ثوبان مولى رسول الله صلى الله عليه وسلم ( رضي الله عنه,0,675,"Makkah, Medina, as-Surat, Syria, Hims"
131,'Abdullah,('Abd Rabb) bin Haq ( عبد الله (عبد رب) بن حق بن أوس ( رضي الله عنه,0,0,Medinah
132,Bashir ibn Sa'd,( بشير بن سعد بن ثعلبة ( رضي الله عنه,0,634,Medina
133,'Ubaydallah bin al-'Abbas,( عبيد الله بن العباس بن عبد المطلب ( رضي الله عنه,621,686,"Makkah, Medina"
134,Amina bint 'Amr bin Harb,( آمنة بنت عمرو بن حرب ( رضي الله عنها,0,0,"Makkah, Medinah"
135,Fadl ibn al-'Abbas,( الفضل بن العباس بن عبد المطلب ( رضي الله عنه,0,640,"Makkah, Medina"
136,Umm Habib bint Jahsh,( أم حبيبة بنت جحش ( رضي الله عنها,0,665,"Makkah, Medina"
137,Jariyya bint 'Amr bin Mu'mil,( جارية بنت عمرو بن المؤمل ( رضي الله عنها,0,0,"Makkah,  Medinah"
138,Damra bin Ka'b bin 'Amr,( ضمرة بن كعب بن عمرو ( رضي الله عنه,0,625,Medinah
139,Habibah bint Ubayd-Allah,( حبيبة بنت أم حبيبة بنت أبي سفيان ( رضي الله عنها,0,0,"Abyssinia, Medinah"
140,'Abdullah bin Abi Umayyah,( عبد الله بن أبي أمية المخزومي ( رضي الله عنه,0,630,"Makkah, Medina"
141,Lubaba,(Sughra) bint al-Harith ( لبابة (الصغرى) بنت الحارث ( رضي الله عنها,0,0,"Makkah, Medina"
142,Ziyad bin Ka'b bin 'Amr,( زياد بن كعب بن عمرو ( رضي الله عنه,0,0,Medinah
143,Muhammad bin Abu Hudhayfah ibn 'Utbah,( محمد بن أبي حذيفة بن عتبة ( رضي الله عنه,0,0,"Abyssinia, Makkah, Medinah, Egypt"
144,Hisham ibn al-'Aas,( هشام بن العاصي بن وائل ( رضي الله عنه,0,634,"Makkah, Abyssinia, Medina"
145,Hudhayfah ibn al-Yaman,( حذيفة بن اليمان ( رضي الله عنه,0,622,"Makkah, Medina, Kufa"
146,Buzay'a bint Abi Kharija bin Aws,( بزيعة بنت أبي خارجة بن أوس ( رضي الله عنها,0,0,Medina
147,Ikrimah ibn Abi Jahl,( عكرمة بن أبي جهل ( رضي الله عنه,0,635,"Makkah, Yemen, Syria"
148,Nu'man bin Malik,( النعمان بن مالك بن ثعلبة بن دعد ( رضي الله عنه,0,625,Medina
149,Khabbab ibn al-Aratt,( خباب بن الأرت ( رضي الله عنه,0,658,"Makkah, Medina, Kufa"
150,Khalid bin Sa`id ibn al-'As,( خالد بن سعيد بن العاص بن أمية ( رضي الله عنه,0,622,"Makkah, Abyssinia, Medinah, Syria"
151,Shaddad ibn al-Haad,( شداد بن الهاد الليثي ( رضي الله عنه,0,0,"Makkah, Medina, Kufa"
152,Khunays ibn Hudhaifa,( خنيس بن حذافة بن قيس ( رضي الله عنه,0,625,"Makkah, Abyssinia, Medinah"
153,Mandwas bint 'Ubada b. Dulaim,( مندوس بنت عبادة بن دليم الأنصارية ( رضي الله عنها,0,0,Medinah
154,Layla bint 'Ubada b. Dulaim,( ليلى بنت عبادة الأنصارية الساعدية ( رضي الله عنها,0,0,Medinah
155,Fukayha bint 'Ubayd b. Dulaim,( فكيهة بنت عبيد بن دليم الأنصارية ( رضي الله عنها,0,0,Medinah
156,Umm Fadl Lubaba bint al-Harith,( أم الفضل لبابة بنت الحارث ( رضي الله عنها,0,622,"Makkah, Medina"
157,Sa'id bin Sa'd ibn 'Ubadah,( سعيد بن سعد بن عبادة الأنصاري ( رضي الله عنه,0,0,"Medinah, Syria"
158,Ishaq bin Sa'd ibn 'Ubadah,( إسحاق بن سعد بن عبادة الأنصاري ( رضي الله عنه,0,0,Medinah
160,al-Furay'a bint Malik bin al-Dukhsham,( الفريعة بنت مالك بن الدخشم ( رضي الله عنها,0,0,Medinah
161,Qurratu'l-'Ayn bint 'Ubada bin Nadla,( قرة العين بنت عبادة بن نضلة ( رضي الله عنها,0,0,Medinah
162,al-Fa'rah bint Abi Sufyan,( الفارعة بنت أبي سفيان بن حرب ( رضي الله عنها,0,0,"Makkah, Medina, Abyssinia"
163,al-Miqdad ibn al-Aswad,( المقداد بن الأسود الكندي ( رضي الله عنه,0,654,"Makkah, Medina, Abyssinia"
164,Talib ibn Abi Talib,( طالب بن ابي طالب ( رضي الله عنه,0,0,"Makkah, Medina"
165,'Aqeel ibn Abi Talib,( عقيل بن أبي طالب ( رضي الله عنه,590,622,"Makkah, Medina, Kufa"
166,al-Mughira ibn Shu'ba,( المغيرة بن شعبة ( رضي الله عنه,0,671,"Makkah, Medina, Basra, Kufa"
167,Muhammad Ibn Maslama,( محمد بن مسلمة بن سلمة ( رضي الله عنه,0,622,"Medina, Syria"
168,Muhammad ibn Abi Bakr,( محمد بن أبي بكر الصديق ( رضي الله عنه,632,658,"Medina, Kufa, Egypt"
169,'Abdullah ibn Shaddad,( عبد الله بن شداد بن الهاد الليثي ( رضي الله عنه,0,622,"Medinah, Kufa"
170,Aus bin As-Samit,( أوس بن الصامت بن قيس بن أصرم ( رضي الله عنه,0,622,"Makkah, Medinah, Palestine, Syria"
171,Salma,( سلمى أم رافع امرأة أبي رافع ( رضي الله عنها,0,0,"Makkah, Medinah, Kufa"
172,Qays ibn Sa'd ibn 'Ubadah,( قيس بن سعد بن عبادة الأنصاري ( رضي الله عنه,0,622,"Medinah, Kufa, Egypt"
173,Naufal bin 'Abdullah bin Nadla,( نوفل بن عبد الله بن نضلة الأنصاري ( رضي الله عنه,0,625,Medinah
174,Rabi'ah ibn al-Harith,( ربيعة بن الحارث بن عبد المطلب ( رضي الله عنه,623,636,"Makkah, Medinah"
175,'Amir ibn Abi Waqqas,( عامر بن أبي وقاص ( رضي الله عنه,0,0,"Makkah, Abyssinia, Medina, Syria"
176,'Amra bint Mas'ud #4,( عمرة بنت مسعود بن قيس الرابعة ( رضي الله عنها,0,627,Medinah
177,Nawfal ibn al-Harith,( نوفل بن الحارث بن عبد المطلب ( رضي الله عنه,0,636,"Makkah, Medina"
178,Ghaziyya bint Sa'd ibn Khalifa,( عدية/غزية بنت سعد بن خليفة ( رضي الله عنها,0,0,Medinah
179,'Abdullah ibn al-Harith,( عبد الله بن الحارث بن عبد المطلب ( رضي الله عنه,0,624,"Makkah, Medina"
180,Salim Mawla Abu Hudhayfah,( سالم مولى أبي حذيفة ( رضي الله عنه,0,634,"Makkah, Medina"
181,'Umama bint Hamza,( عماره/أمامة بنت حمزه بن عبدالمطلب ( رضي الله عنها,0,0,"Makkah, Medina"
182,Suhayb bin Sinan ar-Rumi,( صهيب بن سنان بن مالك الرومي ( رضي الله عنه,0,659,"Makkah, Rome, Medina"
183,'Ubaydah ibn al-Harith,( عبيدة بن الحارث بن المطلب ( رضي الله عنه,0,624,"Makkah, Medinah"
184,Muhammad ibn Ja'far,( محمد بن جعفر بن أبي طالب ( رضي الله عنه,0,622,"Abyssinia,  Medinah,  Kufa"
185,Awn ibn Ja'far,( عون بن جعفر بن أبي طالب الهاشمي ( رضي الله عنه,0,622,"Abyssinia,  Medinah,  Kufa"
186,Umm Kulthum bint 'Amr,(Jarwal) ( أم كلثوم بنت عمرو بن جرول الخزاعية ( رضي الله عنه,0,0,"Makkah, Medina"
187,Umm Shareek,( أم شريك العامرية/ الأنصارية/ الدوسية ( رضي الله عنها,0,0,Medina
188,Umm 'Ubays,( أم عبيس ( رضي الله عنها,0,0,"Makkah,  Medina"
189,'Uqba bin 'Amir al-Juhayni,( عقبة بن عامر الجهني ( رضي الله عنه,0,622,"Medina, Syria, Egypt"
190,'Urwah ibn Mas'ud al-Thaqafi,( عروة بن مسعود بن معتب الثقفي ( رضي الله عنه,0,622,"Makkah, Medina, Ta"
191,Ayman bin 'Ubiad,( أيمن بن عبيد بن زيد بن عمرو ( رضي الله عنه,0,630,"Makkah, Medinah"
192,'Abdullah b. Zama'a,( عبد الله بن زمعة بن الأسود بن المطلب ( رضي الله عنه,0,684,"Makkah, Medina"
193,Mulayl bin Wabara bin Khalid,( مليل بن وبرة بن خالد بن العجلان ( رضي الله عنه,0,0,Medinah
194,Habiba bint Mulayl bin Wabara,( حبيبة بنت مليل بن وبرة بن خالد ( رضي الله عنها,0,0,Medinah
195,Bushra bint Mulayl bin Wabara,( بشرة بنت مليل بن وبرة بن خالد ( رضي الله عنها,0,0,Medinah
196,'Atikah bint Zayd,( عاتكة بنت زيد بن عمرو بن نفيل ( رضي الله عنها,0,0,"Makkah, Medina"
197,Tulayb bin 'Umayr,( طليب بن عمير بن وهب ( رضي الله عنه,0,635,"Makkah, Abyssinia, Medinah"
198,Umm Hani bint Abi Talib,( ام هانى بنت أبي طالب ( رضي الله عنها,0,662,"Makkah, Medina"
199,Jumanah bint Abi Talib,( جمانة بنت أبي طالب بن عبد المطلب ( رضي الله عنها,0,0,"Makkah, Medina"
200,'Umayr bin Sa'd al-Ansari,( عمير بن سعيد بن عبيد الأنصاري ( رضي الله عنه,0,622,"Medinah, Syria, Hims, Kufa"
201,Basbas bin 'Amr bin Tha'laba,( بسبس بن عمرو بن ثعلبة ( رضي الله عنه,0,0,Medinah
202,"Umm Ayman, Barakah",( أم أيمن مولاة النبي صلى الله عليه وسلم ( رضي الله عنها,0,633,"Makkah, Medina"
203,Habiba bint Kharijah ibn Zayd,( حبيبة بنت خارجة بن زيد ( رضي الله عنها,0,622,Medina
204,'Abdullah ibn Hudhafah as-Sahmi,( عبد الله بن حذافة ( رضي الله عنه,0,622,"Makkah, Abyssinia, Medinah, Egypt"
205,Tufail ibn 'Abdullah,( الطفيل بن عبد الله بن الحارث بن سخبرة ( رضي الله عنه,0,0,"Sarat,  Makkah,  Madinah"
206,'Utbah ibn Ghazwan,( عتبة بن غزوان ( رضي الله عنه,0,639,"Makkah, Abyssinia, Medinah, Basrah"
207,Mahabba bint ar-Rabi' ibn 'Amr,( محبة بنت الربيع بن عمرو بن أبي زهير ( رضي الله عنها,0,0,Medina
208,Muhammad bin 'Abdur Rahman,( محمد بن عبد الرحمن بن أبي بكر ( رضي الله عنه,0,0,Medinah
209,Umm Haram bint Milhan,( أم حرام بنت ملحان ( رضي الله عنها,0,622,Medinah
210,Huzayla bint 'Utba ibn 'Amr,( هزيلة بنت عتبة بن عمرو ( رضي الله عنها,0,0,Medina
211,Zayd ibn Kharija ibn Zayd,( زيد بن خارجة بن زيد ( رضي الله عنه,0,622,Medina
212,'Adi ibn Hatim al-Tayyi',( عدي بن حاتم الطائي ( رضي الله عنه,0,622,"Medina, Kufa"
213,Ibn Umm Maktum,( عبد الله بن أم مكتوم الأعمى القرشي ( رضي الله عنه,0,636,"Makkah, Medina, Iraq"
214,Jamila bint Sa'd ibn ar-Rabi',( أم سعد/ أم خارجة/جميلة بنت سعد بن الربيع ( رضي الله عنها,625,0,Medinah
215,'Amra bint Hazm ibn Zayd,( عمرة بنت حزم الأنصارية ( رضي الله عنها,0,0,Medina
216,al-Harith ibn Nawfal ibn al-Harith,( الحارث بن نوفل بن الحارث ( رضي الله عنه,0,622,"Makkah, Medina, Basra"
217,'Umayr bin Wahb,( عمير بن وهب بن خلف ( رضي الله عنه,0,622,"Makkah, Medinah"
218,Yazid bin Abi Sufyan,( يزيد بن أبي سفيان ( رضي الله عنه,0,640,"Makkah, Medinah, Syria, Palestine"
219,Abu 'Umair bin Abi Talha,( أبو عمير بن أبي طلحة زيد بن سهل الأنصاري ( رضي الله عنه,0,0,Medinah
220,Umama bint As-Samit,( أمامة بنت الصامت بن قيس بن أصرم ( رضي الله عنها,0,0,Medinah
221,Suhyal bin Bayda',( سهيل بن بيضاء القرشي ( رضي الله عنه,0,631,"Makkah, Abyssinia, Medinah"
